"","filenames","mean_lpps","median_lpps","sd_lpps","mean_qss","median_qss","sd_qss"
"1","astral-mafft_r10_l10_i10_b2_0",0.908257261410788,1,0.186264463082653,63.3845,61.67,20.7545432380701
"2","astral-mafft_r10_l25_i25_b2_0",0.911120331950207,1,0.179962930330729,63.4302916666667,61.34,20.7894717762299
"3","astral-mafft_r10_l25_i50_b2_0",0.906348547717842,1,0.187880577340054,63.7185416666667,61.94,21.0510710318552
"4","astral-mafft_r10_l25_i75_b2_0",0.900414937759336,1,0.195786432393225,64.90175,63.61,21.9172215263511
"5","astral-mafft_r10_l50_i25_b2_0",0.906099585062241,1,0.191636957225967,63.9939004149378,62.65,21.0574958282486
"6","astral-mafft_r10_l50_i50_b2_0",0.914107883817427,1,0.176647402979079,65.3540663900415,65.5,21.6233226916889
"7","astral-mafft_r10_l50_i50_b2_d",0.895103734439834,1,0.188031717256236,64.0086666666667,61.04,21.1491055404334
"8","astral-mafft_r10_l75_i25_b2_0",0.894896265560166,1,0.204581100530643,65.3401659751037,63.23,22.3725542791237
"9","astral-mafft_r10_l75_i75_b2_0",0.829541666666667,0.965,0.215674960607841,71.1564285714286,70.04,22.6599230472554
"10","astral-mafft_r25_l10_i10_b2_0",0.904166666666667,1,0.188240402393973,65.26075,63.85,21.8324865101887
"11","astral-mafft_r25_l25_i25_b2_0",0.903833333333333,1,0.188011765559612,65.3227916666667,63.85,21.8800698779589
"12","astral-mafft_r25_l25_i50_b2_0",0.9065,1,0.180149403361157,65.630625,63.85,21.9081290014493
"13","astral-mafft_r25_l25_i75_b2_0",0.901916666666667,1,0.190053046254239,66.67175,66.195,22.2695516152045
"14","astral-mafft_r25_l50_i25_b2_0",0.904125,1,0.186608312070741,65.823,63.865,22.0850680580728
"15","astral-mafft_r25_l50_i50_b2_0",0.91075,1,0.175838279161308,66.9879583333333,67.09,22.2939932713168
"16","astral-mafft_r25_l75_i25_b2_0",0.909541666666667,1,0.179737716665673,67.344875,67.9,22.4172185387393
"17","astral-mafft_r25_l75_i75_b2_0",0.826962025316456,0.97,0.227800952534316,72.0167088607595,73.64,23.2786940152301
"18","astral-mafft_r50_l10_i10_b2_0",0.884279661016949,1,0.211971270056218,67.5608974358974,67.79,23.2247400934873
"19","astral-mafft_r50_l25_i25_b2_0",0.884406779661017,1,0.211987724947245,67.6405555555556,67.725,23.2843592466476
"20","astral-mafft_r50_l25_i50_b2_0",0.885084745762712,1,0.210078995325464,67.7753418803419,67.31,23.3074934277072
"21","astral-mafft_r50_l25_i75_b2_0",0.894553191489362,1,0.193023935510449,68.8345493562232,70.27,23.5036165208458
"22","astral-mafft_r50_l50_i25_b2_0",0.884152542372881,1,0.212059109668764,67.86,68.3,23.371348348034
"23","astral-mafft_r50_l50_i50_b2_0",0.892330508474576,1,0.195027747293067,68.9871063829787,69.72,23.1361977123003
"24","astral-mafft_r50_l75_i25_b2_0",0.884102564102564,1,0.203833028723383,69.1748275862069,70.325,23.0754310220473
"25","astral-mafft_r50_l75_i75_b2_0",0.837991266375546,0.98,0.212027348270494,73.0937554585153,74.98,23.1371768860362
"26","astral-maffteinsi_r10_l50_i50_b2_0",0.912282157676349,1,0.178092260889288,65.4682572614108,64.49,21.3878028780473
"27","astral-mafftexons_r10_l50_i50_b2_0",0.89655601659751,1,0.18769924406898,63.0407053941909,62.03,20.5629050497171
"28","astral-mafftginsi_r10_l50_i50_b2_0",0.90045643153527,1,0.197830417619603,64.2201659751037,62.29,21.2540687274775
"29","astral-mafftlinsi_r10_l50_i50_b2_0",0.908713692946058,1,0.167979428859772,64.7022406639004,61.77,21.4902397216001
"30","astral-magus_r10_l10_i10_trimal_02",0.908921161825726,1,0.200934478355453,63.5947302904564,60.69,21.1785374266289
"31","astral-magus_r10_l10_i10_trimal_auto",0.89551867219917,1,0.196788382172906,61.4866390041494,58.74,20.5119296363516
"32","astral-magus_r10_l25_i25_trimal_02",0.911452282157676,1,0.195279625379915,63.684398340249,60.44,21.1961203739583
"33","astral-magus_r10_l25_i25_trimal_auto",0.8950622406639,1,0.197513966451215,61.5565975103734,58.76,20.5980201324017
"34","astral-magus_r10_l25_i50_trimal_02",0.91896265560166,1,0.176487023412257,63.9506639004149,59.28,21.2997153046091
"35","astral-magus_r10_l25_i50_trimal_auto",0.902448132780083,1,0.182871261657618,62.275020746888,59.16,20.6028908999943
"36","astral-magus_r10_l25_i75_trimal_02",0.918215767634855,1,0.165115272613849,65.2865416666667,61.705,21.3020414907092
"37","astral-magus_r10_l25_i75_trimal_auto",0.898091286307054,1,0.180260482724552,63.4834024896266,60.64,20.589307824892
"38","astral-magus_r10_l50_i25_trimal_02",0.917261410788382,1,0.172324699950417,64.4398340248963,61.27,21.1266665608263
"39","astral-magus_r10_l50_i25_trimal_auto",0.902821576763486,1,0.182937618327041,62.3202489626556,59.07,20.4151208447177
"40","astral-magus_r10_l50_i50_b2_0",0.892614107883817,1,0.204365411212706,64.4588796680498,64.7,21.5616255569077
"41","astral-magus_r10_l50_i50_b2_d",0.888589211618257,1,0.193057853288747,63.5977178423237,61.21,21.3142473521052
"42","astral-magus_r10_l50_i50_trimal_02",0.917427385892116,1,0.169678678920545,65.4297510373444,61.61,21.3391085006948
"43","astral-magus_r10_l50_i50_trimal_auto",0.896348547717842,1,0.185526129359089,63.4488381742739,60.46,20.9503148419748
"44","astral-magus_r10_l50_i50_trimal_gappyout",0.883817427385892,1,0.207513934941779,62.9465975103734,60.26,21.6300414942157
"45","astral-magus_r10_l75_i25_trimal_02",0.909875518672199,1,0.189614699957134,66.0621991701245,64.13,21.6913405854387
"46","astral-magus_r10_l75_i25_trimal_auto",0.89344398340249,1,0.193272707740642,63.882875,61.38,21.5330810319629
"47","astral-magus_r10_l75_i75_trimal_02",0.841041666666667,0.98,0.211992338056591,71.9385355648536,72.51,22.2026894982491
"48","astral-magus_r10_l75_i75_trimal_auto",0.83397489539749,0.96,0.210602615254381,71.2044725738397,71.37,21.1830220490765
"49","astral-magus_r50_l50_i50_b2_0",0.880466101694915,1,0.21775301965626,68.9402978723404,70.3,23.1152994141307
"50","astral-magus_r50_l50_i50_b2_d",0.870889830508475,1,0.21753466963196,67.389914893617,67.42,23.1193112567001
"51","astral-magusexons_r10_l50_i50_b2_0",0.880331950207469,1,0.210637657324763,62.4756846473029,60.66,20.8590609320459
"52","astral-magusexons_r10_l50_i50_b2_d",0.884190871369295,1,0.205177435608762,63.1531950207469,62.23,21.4726499916982
"53","astral-magusexons_r25_l50_i50_b2_0",0.886083333333333,1,0.197815669378348,63.2772916666667,61.985,20.7160062567181
"54","astral-magusexons_r25_l50_i50_b2_d",0.887166666666667,1,0.194803552300368,64.496625,62.91,21.3851377012901
